0	0 -91.1745 77.6825
1	-32.3745 -87.5481 47.009
2	-61.2724 -75.0364 11.7272
3	-82.6287 -53.3405 -24.9541
4	-94.9302 -25.6273 -59.0475
5	-99.8171 4.26405 -88.6793
6	-99.6839 34.0565 -113.95
7	-96.3369 62.8201 -135.605
8	-90.9258 90.2804 -154.391
9	-84.1609 116.424 -170.903
10	-76.4883 141.331 -185.587
11	-68.196 165.108 -198.78
12	-59.476 187.86 -210.735
13	-50.4596 209.685 -221.648
14	-41.2392 230.67 -231.672
15	-31.881 250.891 -240.927
16	-22.4331 270.414 -249.512
17	-12.9316 289.298 -257.506
18	-3.40317 307.593 -264.975
19	6.13165 325.344 -271.975
20	15.6573 342.589 -278.553
21	25.1616 359.364 -284.747
22	34.6353 375.699 -290.593
23	44.0713 391.622 -296.121
24	53.4637 407.158 -301.355
25	62.8084 422.33 -306.319
26	72.1019 437.156 -311.034
27	81.3417 451.656 -315.516
28	90.5258 465.847 -319.781
29	99.6527 479.743 -323.845
30	108.721 493.359 -327.719
31	117.731 506.708 -331.416
32	126.682 519.8 -334.945
33	135.573 532.649 -338.317
34	144.404 545.262 -341.539
35	153.175 557.65 -344.621
36	161.887 569.822 -347.569
37	170.54 581.786 -350.39
38	179.135 593.549 -353.09
39	187.67 605.119 -355.674
40	196.148 616.501 -358.149
41	204.569 627.704 -360.52
42	212.933 638.732 -362.789
43	221.24 649.59 -364.963
44	229.491 660.285 -367.045
45	237.688 670.821 -369.039
46	245.829 681.203 -370.948
47	253.917 691.436 -372.775
48	261.951 701.523 -374.524
49	269.933 711.468 -376.197
50	277.862 721.276 -377.797
51	285.74 730.949 -379.328
52	293.566 740.492 -380.79
53	301.342 749.908 -382.187
54	309.068 759.199 -383.521
55	316.745 768.369 -384.793
56	324.373 777.421 -386.006
57	331.953 786.357 -387.162
58	339.485 795.18 -388.261
59	346.969 803.892 -389.307
60	354.408 812.496 -390.301
61	361.799 820.995 -391.244
62	369.146 829.389 -392.137
63	376.447 837.683 -392.982
64	383.703 845.876 -393.781
65	390.915 853.973 -394.534
66	398.084 861.973 -395.243
67	405.209 869.88 -395.909
68	412.291 877.695 -396.534
69	419.331 885.419 -397.117
70	426.328 893.055 -397.661
71	433.284 900.603 -398.165
72	440.199 908.066 -398.632
73	447.073 915.445 -399.062
74	453.907 922.741 -399.456
75	460.701 929.956 -399.815
76	467.455 937.09 -400.139
77	474.17 944.146 -400.43
78	480.846 951.125 -400.688
79	487.483 958.027 -400.913
80	494.082 964.854 -401.107
81	500.643 971.607 -401.271
